name,count,rank,year,owner_language
Bella,927,1,2010,__all__
Fiona,874,2,2010,__all__
Tina,790,3,2010,__all__
Nina,702,4,2010,__all__
Diana,688,5,2010,__all__
Nora,674,6,2010,__all__
Sina,671,7,2010,__all__
Lara,668,8,2010,__all__
Viola,651,9,2010,__all__
Bianca,631,10,2010,__all__
Bella,907,1,2011,__all__
Fiona,781,2,2011,__all__
Nina,750,3,2011,__all__
Tina,739,4,2011,__all__
Nora,694,5,2011,__all__
Diana,692,6,2011,__all__
Sina,677,7,2011,__all__
Lara,649,8,2011,__all__
Bianca,586,9,2011,__all__
Viola,584,10,2011,__all__
Bella,912,1,2012,__all__
Fiona,755,2,2012,__all__
Tina,741,3,2012,__all__
Nina,736,4,2012,__all__
Nora,683,5,2012,__all__
Diana,679,6,2012,__all__
Sina,602,7,2012,__all__
Viola,601,8,2012,__all__
Bianca,582,9,2012,__all__
Lara,555,10,2012,__all__
Bella,901,1,2013,__all__
Fiona,822,2,2013,__all__
Nina,740,3,2013,__all__
Nora,686,4,2013,__all__
Tina,676,5,2013,__all__
Diana,642,6,2013,__all__
Bianca,606,7,2013,__all__
Flora,597,8,2013,__all__
Sina,595,9,2013,__all__
Lara,554,10,2013,__all__
Bella,901,1,2014,__all__
Fiona,836,2,2014,__all__
Nora,706,3,2014,__all__
Tina,683,4,2014,__all__
Nina,668,5,2014,__all__
Sina,599,6,2014,__all__
Flora,588,7,2014,__all__
Bianca,586,8,2014,__all__
Lara,564,9,2014,__all__
Diana,563,10,2014,__all__
Bella,850,1,2015,__all__
Fiona,752,2,2015,__all__
Nora,744,3,2015,__all__
Nina,734,4,2015,__all__
Tina,661,5,2015,__all__
Belinda,638,6,2015,__all__
Bianca,610,7,2015,__all__
Diana,582,8,2015,__all__
Sina,576,9,2015,__all__
Flora,554,10,2015,__all__
Bella,891,1,2016,__all__
Nora,859,2,2016,__all__
Nina,730,3,2016,__all__
Fiona,715,4,2016,__all__
Tina,656,5,2016,__all__
Bianca,629,6,2016,__all__
Sina,579,7,2016,__all__
Luna,572,8,2016,__all__
Belinda,568,9,2016,__all__
Diana,551,10,2016,__all__
Bella,930,1,2017,__all__
Tina,702,2,2017,__all__
Nina,665,3,2017,__all__
Fiona,658,4,2017,__all__
Nora,656,5,2017,__all__
Bianca,636,6,2017,__all__
Sina,584,7,2017,__all__
Belinda,553,8,2017,__all__
Diana,553,8,2017,__all__
Luna,529,10,2017,__all__
Bella,907,1,2018,__all__
Sina,690,2,2018,__all__
Tina,674,3,2018,__all__
Fiona,668,4,2018,__all__
Nora,632,5,2018,__all__
Lisa,608,6,2018,__all__
Nina,597,7,2018,__all__
Luna,596,8,2018,__all__
Bianca,593,9,2018,__all__
Mia,537,10,2018,__all__
Bella,963,1,2019,__all__
Tina,661,2,2019,__all__
Fiona,657,3,2019,__all__
Sina,656,4,2019,__all__
Nina,637,5,2019,__all__
Anna,596,6,2019,__all__
Lisa,572,7,2019,__all__
Bianca,559,8,2019,__all__
Belinda,533,9,2019,__all__
Nora,526,10,2019,__all__
Bella,959,1,2020,__all__
Fiona,692,2,2020,__all__
Sina,681,3,2020,__all__
Corona,631,4,2020,__all__
Tina,622,5,2020,__all__
Nina,591,6,2020,__all__
Nora,587,7,2020,__all__
Bianca,587,7,2020,__all__
Luna,574,9,2020,__all__
Anna,564,10,2020,__all__
Bella,994,1,2021,__all__
Fiona,725,2,2021,__all__
Nina,700,3,2021,__all__
Sina,645,4,2021,__all__
Tina,643,5,2021,__all__
Nora,636,6,2021,__all__
Bianca,632,7,2021,__all__
Luna,630,8,2021,__all__
Anna,596,9,2021,__all__
Belinda,557,10,2021,__all__
Bella,962,1,2022,__all__
Tina,668,2,2022,__all__
Sina,667,3,2022,__all__
Fiona,657,4,2022,__all__
Nina,634,5,2022,__all__
Anna,629,6,2022,__all__
Olivia,613,7,2022,__all__
Bianca,598,8,2022,__all__
Nora,591,9,2022,__all__
Luna,566,10,2022,__all__
Bella,482,1,2023,__all__
Sina,335,2,2023,__all__
Tina,307,3,2023,__all__
Fiona,299,4,2023,__all__
Olivia,283,5,2023,__all__
Bianca,283,5,2023,__all__
Lisa,279,7,2023,__all__
Nora,271,8,2023,__all__
Anna,268,9,2023,__all__
Nina,265,10,2023,__all__
Bella,722,1,2010,de
Fiona,720,2,2010,de
Tina,620,3,2010,de
Sina,613,4,2010,de
Viola,577,5,2010,de
Diana,569,6,2010,de
Lara,547,7,2010,de
Nina,539,8,2010,de
Nora,538,9,2010,de
Bianca,520,10,2010,de
Bella,716,1,2011,de
